State,Compulsory Attendance,Testing Requirements,Required Subjects,Other Requirements
Alaska,Ages 7-16,No requirements under the AK home school statute.,,4 options to choose from
Alabama,Ages 7-16,,"Depending on the option you choose, there may be required subjects.","A parent can home school under the private school, private tutor, or church school option. Documentation must be filed."
Arizona,Ages 6-16,No testing requirements.,"Reading, grammar, math, social studies, and science.","Must submit 2 documents – notarized affidavit of intent to homeschool & child’s birth certificate or reliable proof of the child’s identity. However, homeschooling is under the jurisdiction of each county."
Arkansas,Ages 6-16,"Yes, homeschooled students are required to participate in either state testing or state-approved alternative testing procedures.",,"Must file written notice of intent to home school & sign a waiver at the beginning of each year, even when enrolled in umbrella schools. Must be in-person the first time."
California,,No required testing at this time.,"Grades 1-6: English, math, social science, science, visual and performing arts, health, and physical education.
Grades 7-12: The government may prescribe English; social sciences; foreign languages (starting no later than seventh grade); physical education; science; mathematics; visual and performing arts; applied arts; career technical education; automobile driver education.","Parents have 3 options: public school independent or home-based study programs; public charter independent study schools, & homeschooling under the Private School Affidavit."
Colorado,Ages 7-16,"Testing in grades 3,5,7,9,and 11 or evaluation by a qualified person and results must be submitted to the school district.","Reading, writing, speaking, mathematics, history, civics, literature, science, and the Constitution of the United States.","Documentation of intent to homeschool, attendance, test and evaluation results and immunization records must be kept and produced for the school district."
Connecticut,Ages 7-17,No annual testing.,"Reading, writing, spelling, grammar, geography, arithmetic, United States history, including the study of the town, state, and federal governments, and citizenship.","The state suggests parents complete the Intent to Homeschool form for each child annually and submit it to the Superintendent’s office for signature, but asks parents to check with their local school district."
Delaware,Ages 5-16,It is recommended for parents to keep portfolios.,,"Homeschooling is considered a “non-public school” and families must register, keep attendance, and annual enrollment with the Delaware Department of Education."
Florida,Ages 6-16,"Annual testing, or evaluation of the portfolio and student.",,"Must notify the state each year, portfolio, must have an annual review (several options), and can participate in extracurricular activities w/school."
Georgia,Ages 6-16,"Must test at least every three years, beginning in 3rd grade.","Instruction in reading, language arts, mathematics, social studies, and science.","Must submit a declaration of intent (online), but umbrella schools are welcomed. Parent must have at least a high school diploma or GED."
Hawaii,Ages 6-18,"Must test in grades 3, 5, 8, and 10",High schoolers must attend at least three years of high school to meet the state requirements for a high school diploma.,"Must submit an intent to homeschool or Form 4140 and it must be officially acknowledged. Must keep a record of planned curriculum with semester dates, hours per week, and subjects of instruction. An annual progress report, showing satisfactory progress in all content areas, shall be submitted at the end of each school year."
Idaho,Ages 7-16,"Parents are encouraged to test their homeschooled children, who are permitted to take the statewide annual exams.",“A homeschooled student must be comparably instructed to students in the public school”,Does not require registration or reporting.
Illinois,Ages 6-17,No required standardized testing or reporting.,"“The parents may be expected to document the subjects taught which must include “branches of learning” taught in the public school, the time frame in which instruction will be offered, and the competency of the parent or other instructor(s).”",Parents are not required to register with the state. Homeschool considered a “non-public” school – no real statutes regarding homeschooling.
Indiana,Age 7 until graduation,,Instruction equivalent to that given in the public schools.,"180 days and attendance records. May participate in extracurricular activities. Considered non-public, non-accredited schools."
Iowa,Ages 6-16,Annual assessment depending on your choice of options. “Standardized testing or portfolio assessment may be chosen.”,"“Mathematics, reading and language arts, science, and social studies.”","148 attendance days each year, with at least 37 each quarter. Several requirements if providing “competent private instruction.” However, no requirements if providing “independent private instruction.”"
Kansas,Ages 7-18,Periodic testing.,Must have a competent instructor. Must have at least 186 days of attendance with not less than 6 hours per day.,Homeschooling is considered a “non-accredited private school” and must register the school name and address with the Kansas Board of Education.
Kentucky,Ages 6-18,None specified.,"Reading, writing, spelling, grammar, history, mathematics, science, and civics. Must be in the English Language.","Defined as a private school and asked to create a school name. Notification of the homeschool and identification of every student is required upon registration. Keep course records, attendance records."
Louisiana,Ages 6-18,None specified.,,Must apply and be approved annually. Can participate in athletics. Considered a “home study plan.”
Maine,Ages 6-17,"Annual assessments required. Must complete one of the following: (1) a standardized test, (2) a test set by the school official but allowed to be taken at home, (3) review & acceptance of the student’s progress by a certified Maine teacher, (4) portfolio assessment by a support group with a certified Maine teacher, or (5) “a review and acceptance of the student’s progress by a local advisory board selected by the superintendent of the administrative unit in which the student resides that includes one administrative unit employee and two home instruction tutors.”","“English and language arts, math, science, social studies, physical education, health education, library skills, fine arts, Maine studies (in one grade level between grades six and 12), and demonstrated proficiency in the use of computers (in one grade level between grades seven and 12)”","Notice of intent, initially and each subsequent year. Testing results must be submitted. 175 days."
Maryland,Ages 5-16,Portfolio review from a school system representative.,"English, math, science, social studies, art, music, health, and physical education.","Request a homeschool info packet from DOE, submit forms, and approval required."
Massachusetts,Ages 6-16,May be required by local school officials.,"Officials may ask about the curriculum, but no requirements are set.",Prior approval is a prerequisite before beginning to homeschool.
Michigan,Ages 6-18,"None, but students can participate in the local school district testing.","“Reading, spelling, mathematics, science, history, civics, literature, writing, and English grammar.”",Reporting is not required unless parent is requesting special needs assistance. Parents that register their homeschools must have a bachelor’s degree unless their religious beliefs preclude teacher certification requirements.
Minnesota,Ages 7-17,Must test every year.,"“Home schools are required to provide instruction in: 1) basic communication skills, including reading, writing, literature, and fine arts; 2) mathematics and science; 3) social studies, including history, geography, and government; and 4) health and physical education.”","Must file a Full Report year 1 and letter of intent for each year following. The homeschool program must be accredited or the parent must submit instructor qualifications.
Also, in the first year of homeschooling and in the 7th grade, immunization records must be submitted to the local school district."
Mississippi,Ages 6-17,A homeschooled student transferring to a public school may be required to test.,,Required to fill out a simple enrollment form and describe the curriculum used. “The parent or guardian of a child enrolled in a legitimate homeschooling program is required to complete a “certificate of enrollment” and return it to the school attendance officer where such child resides on or before September 15 of each year.”
